id,label,family,title,source,cccs_type,status,statement,parameter_values,gc_discussion,profile_note
ac-3,AC-3,AC,Access enforcement,NIST SP 800-53 Rev. 5.2.0,control,,Enforce approved authorizations for logical access to information and system resources in accordance with applicable access control policies.,,,
ac-3.2,AC-3(2),AC,Dual authorization,NIST SP 800-53 Rev. 5.2.0,control,,Enforce dual authorization for [Assignment: organization-defined privileged commands and/or other organization-defined actions].,ac-03.02_odp = privileged commands: creation and deletion of PKI officers and administrators accounts | actions: examples are: PKI changes to administrators and security officers; global administrator actions in cloud tenancies; domain administrator actions in single-forest systems,,Organizations must assess which administrative actions are capable of creating the entire available Injury. These actions are candidates for dual authorization.
ac-3.4,AC-3(4),AC,Discretionary access control,NIST SP 800-53 Rev. 5.2.0,control,,"Enforce [Assignment: organization-defined discretionary access control policy] over the set of covered subjects and objects specified in the policy, and where the policy specifies that a subject that has been granted access to information can do one or more of the following:
a. pass the information to any other subjects or objects
b. grant its privileges to other subjects
c. change security attributes on subjects, objects, the system, or the system’s components
d. choose the security attributes to be associated with newly created or revised objects
e. change the rules governing access control",,,"Control enhancement (04) clarifies the Access Enforcement security control by detailing the policy that should be used for access enforcement to Protected B information. That is, while the system may be authorized to process PB, not all information will necessarily be PB. Therefore, DAC will be used to establish and enforce access controls over PB information to “need to know.” Examples of DAC include Windows groups (at the file object level) and document management systems that allow document access permissions to be modified by the owner."
ac-3.9,AC-3(9),AC,Controlled release,NIST SP 800-53 Rev. 5.2.0,control,,"Release information outside of the system only if:
a. the receiving [Assignment: organization-defined system or system component] provides [Assignment: organization-defined controls]
b. [Assignment: organization-defined controls] are used to validate the appropriateness of the information designated for release",,,
ac-4,AC-4,AC,Information flow enforcement,NIST SP 800-53 Rev. 5.2.0,control,,Enforce approved authorizations for controlling the flow of information within the system and between connected systems based on [Assignment: organization-defined information flow control policies].,,,
ac-5,AC-5,AC,Separation of duties,NIST SP 800-53 Rev. 5.2.0,control,,"A. Identify and document [Assignment: organization-defined duties of individuals requiring separation]
B. Define system access authorizations to support separation of duties",,,
ac-6,AC-6,AC,Least privilege,NIST SP 800-53 Rev. 5.2.0,control,,"Employ the principle of least privilege, allowing only authorized accesses for users (or processes acting on behalf of users) that are necessary to accomplish assigned organizational tasks.",,,
ac-6.1,AC-6(1),AC,Authorize access to security functions,NIST SP 800-53 Rev. 5.2.0,control,,"Authorize access for [Assignment: organization-defined individuals or roles] to:
a. [Assignment: organization-defined security functions (deployed in hardware, software, and firmware)]
b. [Assignment: organization-defined security-relevant information]",,,
ac-6.2,AC-6(2),AC,Non-privileged access to non-security functions,NIST SP 800-53 Rev. 5.2.0,control,,"Require that users of system accounts (or roles) with access to [Assignment: organization-defined security functions or security-relevant information] use non-privileged accounts or roles, when accessing non-security functions.",,,
ac-6.5,AC-6(5),AC,Privileged accounts,NIST SP 800-53 Rev. 5.2.0,control,,Restrict privileged accounts on the system to [Assignment: organization-defined personnel or roles].,,,
ac-6.7,AC-6(7),AC,Review of user privileges,NIST SP 800-53 Rev. 5.2.0,control,,"a. Review [Assignment: organization-defined frequency] the privileges assigned to [Assignment: organization-defined roles or classes of users] to validate the need for such privileges
b. Reassign or remove privileges, if necessary, to correctly reflect organizational mission and business needs",,,
ac-6.9,AC-6(9),AC,Log use of privileged functions,NIST SP 800-53 Rev. 5.2.0,control,,Log the execution of privileged functions.,,,
ac-6.10,AC-6(10),AC,Prohibit non-privileged users from executing privileged functions,NIST SP 800-53 Rev. 5.2.0,control,,Prevent non-privileged users from executing privileged functions.,,,
ac-7,AC-7,AC,Unsuccessful logon attempts,NIST SP 800-53 Rev. 5.2.0,control,,"A. Enforce a limit of [Assignment: organization-defined number] consecutive invalid logon attempts by a user during a [Assignment: organization-defined time period]
B. Automatically [Selection (1 or more): lock the account or node for an [Assignment: organization-defined time period]; lock the account or node until released by an administrator; delay next logon prompt per [Assignment: organization-defined delay algorithm]; notify system administrator; take other [Assignment: organization-defined action]] when the maximum number of unsuccessful attempts is exceeded",ac-07_odp.01 = of a maximum of 5; ac-07_odp.02 = period of at least 5 minutes,,
ac-8,AC-8,AC,System use notification,NIST SP 800-53 Rev. 5.2.0,control,,"A. Display [Assignment: organization-defined system use notification message or banner] to users before granting access to the system that provides privacy and security notices consistent with applicable laws, Orders in Council, directives, regulations, policies, standards, and guidelines and state that
1. users are accessing a GC system
2. system usage may be monitored, recorded, and subject to audit
3. unauthorized use of the system is prohibited and subject to criminal and civil penalties
4. the relevant personal information bank (PIB) reference, if applicable
5. legal authority for the collection of personal information
6. any legal or administrative consequences for refusing to provide the personal information
7. the rights of access to, correction and protection of personal information
8. how the information will be used
9. the right to file a complaint to the Privacy Commissioner of Canada regarding the institution’s handling of the individual’s personal information
   B. Retain the notification message or banner on the screen until users acknowledge the usage conditions and take explicit actions to log on to or further access the system
   C. For publicly accessible systems
10. display system use information [Assignment: organization-defined conditions], before granting further access to the publicly accessible system
11. display references, if any, to monitoring, recording, or auditing that are consistent with privacy accommodations for such systems that generally prohibit those activities
12. include a description of the authorized uses of the system",,Organizations consult with the privacy office for input regarding privacy messaging and the TBS or organizational equivalent for legal review and approval of warning banner content. System use notifications may be privacy notice statements (PNS) for systems users.,
ac-11,AC-11,AC,Device lock,NIST SP 800-53 Rev. 5.2.0,control,,"A. Prevent further access to the system by [Selection (1 or more): initiating a device lock after [Assignment: organization-defined tie period] of inactivity; requiring the user to initiate a device lock before leaving the system unattended]
B. Retain the device lock until the user re-establishes access using established identification and authentication procedures",,,
ac-11.1,AC-11(1),AC,Pattern-hiding displays,NIST SP 800-53 Rev. 5.2.0,control,,"Conceal, via the device lock, information previously visible on the display with a publicly viewable image.",,,
ac-12,AC-12,AC,Session termination,NIST SP 800-53 Rev. 5.2.0,control,,Automatically terminate a user session after [Assignment: organization-defined conditions or trigger events requiring session disconnect].,,,
ac-14,AC-14,AC,Permitted actions without identification or authentication,NIST SP 800-53 Rev. 5.2.0,control,,"A. Identify [Assignment: organization-defined user actions] that can be performed on the system without identification or authentication consistent with organizational mission and business functions
B. Document and provide supporting rationale in the security plan for the system, user actions not requiring identification or authentication",,,
ac-16,AC-16,AC,Security and privacy attributes,NIST SP 800-53 Rev. 5.2.0,control,,"A. Provide the means to associate [Assignment: organization-defined types of security and privacy attributes] with [Assignment: organization-defined security and privacy attribute values] for information in storage, in process, and/or in transmission
B. Ensure that the attribute associations are made and retained with the information
C. Establish the following permitted security and privacy attributes from the attributes defined in AC-16A for [Assignment: organization-defined systems]: [Assignment: organization-defined security and privacy attributes]
D. Determine the following permitted attribute values or ranges for each of the established attributes: [Assignment: organization-defined attribute values or ranges for established attributes]
E. Audit changes to attributes
F. Review [Assignment: organization-defined security and privacy attributes] for applicability [Assignment: organization-defined frequency]",,,"In the context of this profile, the objective of this control is to achieve consistent labeling of Protected B material to the maximum extent supported by available, automated mechanisms (for example, email system enforcing classification labels). Since not all information on the system will be sensitive, labeling will help prevent the accidental distribution of Protected B information by providing filter mechanisms with a differentiator."
ac-16.2,AC-16(2),AC,Attribute value changes by authorized individuals,NIST SP 800-53 Rev. 5.2.0,control,,Provide authorized individuals (or processes acting on behalf of individuals) the capability to define or change the value of associated security and privacy attributes.,,,
ac-16.5,AC-16(5),AC,Attribute displays on objects to be output,NIST SP 800-53 Rev. 5.2.0,control,,"Display security and privacy attributes in human-readable form on each object that the system transmits to output devices to identify [Assignment: organization-defined special dissemination, handling, or distribution instructions] using [Assignment: organization-defined human-readable, standard naming conventions].",,,
ac-17,AC-17,AC,Remote access,NIST SP 800-53 Rev. 5.2.0,control,,"A. Establish and document usage restrictions, configuration/connection requirements, and implementation guidance for each type of remote access allowed
B. Authorize each type of remote access to the system prior to allowing such connections",,"The organization ensures that all employees working off-site safeguard information as per the minimum requirements in accordance with the TBS Directive on Security Management, Appendix C: Mandatory Procedures for Physical Security Control.",
ac-17.1,AC-17(1),AC,Monitoring and control,NIST SP 800-53 Rev. 5.2.0,control,,Employ automated mechanisms to monitor and control remote access methods.,,,
ac-17.2,AC-17(2),AC,Protection of confidentiality and integrity using encryption,NIST SP 800-53 Rev. 5.2.0,control,,Implement cryptographic mechanisms to protect the confidentiality and integrity of remote access sessions.,,,
ac-17.3,AC-17(3),AC,Managed access control points,NIST SP 800-53 Rev. 5.2.0,control,,Route remote accesses through authorized and managed network access control points.,,GC departments and agencies consider the secure remote access infrastructure provided by Shared Services Canada for external network connections.,
ac-17.4,AC-17(4),AC,Privileged commands and access,NIST SP 800-53 Rev. 5.2.0,control,,"a. Authorize the execution of privileged commands and access to security-relevant information via remote access only in a format that provides trustworthy evidence and for the following needs: [Assignment: organization-defined needs]
b. Document the rationale for remote access in the security plan for the system",,,
ac-17.400,AC-17(400),AC,Privileged accounts remote access,CCCS,control,,Remote access to privileged accounts is done from dedicated management consoles only.,,,
ac-18,AC-18,AC,Wireless access,NIST SP 800-53 Rev. 5.2.0,control,,"A. Establish configuration requirements, connection requirements, and implementation guidance for each type of wireless access
B. Authorize each type of wireless access to the system prior to allowing such connections",,,
ac-18.1,AC-18(1),AC,Authentication and encryption,NIST SP 800-53 Rev. 5.2.0,control,,Protect wireless access to the system using authentication of [Selection (1 or more): users; devices] and encryption.,,,
ac-18.3,AC-18(3),AC,Disable wireless networking,NIST SP 800-53 Rev. 5.2.0,control,,"Disable, when not intended for use, wireless networking capabilities embedded within system components prior to issuance and deployment.",,,
ac-18.4,AC-18(4),AC,Restrict configurations by users,NIST SP 800-53 Rev. 5.2.0,control,,Identify and explicitly authorize users allowed to independently configure wireless networking capabilities.,,,
ac-19,AC-19,AC,Access control for mobile devices,NIST SP 800-53 Rev. 5.2.0,control,,"A. Establish configuration requirements, connection requirements, and implementation guidance for organization-controlled mobile devices, to include when such devices are outside of controlled areas
B. Authorize the connection of mobile devices to organizational systems",,,
ac-19.5,AC-19(5),AC,Full device or container-based encryption,NIST SP 800-53 Rev. 5.2.0,control,,Employ [Selection: full-device encryption; container-based encryption] to protect the confidentiality and integrity of information on [Assignment: organization-defined mobile devices].,,,
ac-20,AC-20,AC,Use of external systems,NIST SP 800-53 Rev. 5.2.0,control,,"A. [Selection (1 or more): Establish [Assignment: organization-defined terms and conditions]; Identify [Assignment: organization-defined controls asserted to be implemented on external systems]], consistent with the trust relationships established with other organizations owning, operating, and/or maintaining external systems, allowing authorized individuals to
1. access the system from external systems
2. process, store, or transmit organization-controlled information using external systems
   B. Prohibit the use of [Assignment: organizationally-defined types of external systems]",,,
ac-20.1,AC-20(1),AC,Limits on authorized use,NIST SP 800-53 Rev. 5.2.0,control,,"Permit authorized individuals to use an external system to access the system or to process, store, or transmit organization-controlled information only after
a. verification of the implementation of controls on the external system as specified in the organization’s security and privacy policies and security and privacy plans
b. retention of approved system connection or processing agreements with the organizational entity hosting the external system",,,
ac-20.2,AC-20(2),AC,Portable storage devices — restricted use,NIST SP 800-53 Rev. 5.2.0,control,,Restrict the use of organization-controlled portable storage devices by authorized individuals on external systems using [Assignment: organization-defined restrictions].,,,
ac-20.4,AC-20(4),AC,Network accessible storage devices — prohibited use,NIST SP 800-53 Rev. 5.2.0,control,,Prohibit the use of [Assignment: organization-defined network accessible storage devices] in external systems.,,,
ac-21,AC-21,AC,Information sharing,NIST SP 800-53 Rev. 5.2.0,control,,"A. Enable authorized users to determine whether access authorizations assigned to a sharing partner match the information’s access and use restrictions for [Assignment: organization-defined information sharing circumstances where user discretion is required]
B. Employ [Assignment: organization-defined automated mechanisms or manual processes] to assist users in making information sharing and collaboration decisions",,,
ac-21.400,AC-21(400),AC,Information sharing agreement,CCCS,control,,Ensure through written agreements the appropriate safeguarding of sensitive information shared with external public-sector entities and organizations.,,,GC specific
ac-21.401,AC-21(401),AC,Information sharing arrangement,CCCS,control,,Ensure through written arrangements the appropriate safeguarding of sensitive information shared between and within federal institutions.,,"An arrangement outlines the terms and conditions under which personal information is disclosed between parties and is not legally binding. Ensure that the arrangement documents the legislative authorities, permissible uses, and retention standards for the recipient organization.",GC specific
ac-22,AC-22,AC,Publicly accessible content,NIST SP 800-53 Rev. 5.2.0,control,,"A. Designate individuals authorized to make information publicly accessible
B. Train authorized individuals to ensure that publicly accessible information does not contain non-public information
C. Review the proposed content of information prior to posting onto the publicly accessible system to ensure that non-public information is not included
D. Review the content on the publicly accessible system for non-public information [Assignment: organization-defined frequency] and remove such information, if discovered",,,
at-1,AT-1,AT,Awareness and training policy and procedures,NIST SP 800-53 Rev. 5.2.0,activity,,"A. Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]
1. [Selection (1 or more): Organization-level; Mission/business process-level; System-level] awareness and training policy that
   a. addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance
   b. is consistent with applicable laws, jurisprudence, Orders in Council, directives, regulations, policies, standards, and guidelines
2. procedures to facilitate the implementation of the awareness and training policy and the associated awareness and training controls
   B. Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the awareness and training policy and procedures
   C. Review and update the current awareness and training
3. policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]
4. procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]",,,
at-2,AT-2,AT,Literacy training and awareness,NIST SP 800-53 Rev. 5.2.0,control,,"A. Provide security and privacy literacy training to system users (including managers, senior executives, and contractors)
1. as part of initial training for new users and [Assignment: organization-defined frequency] thereafter
2. when required by system changes or following [Assignment: organization-defined events]
   B. Employ the following techniques to increase the security and privacy awareness of system users [Assignment: organization-defined awareness techniques]
   C. Update literacy training and awareness content [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]
   D. Incorporate lessons learned from internal or external security incidents or breaches into literacy training and awareness techniques",,"Organizations provide privacy content that covers, at minimum, the items addressed in the Mandatory Procedures for Privacy Training of the TBS Directive on Personal Information Requests and Correction of Personal Information.",
at-2.2,AT-2(2),AT,Insider threat,NIST SP 800-53 Rev. 5.2.0,control,,Provide literacy training on recognizing and reporting potential indicators of insider threat.,,,
at-2.3,AT-2(3),AT,Social engineering and mining,NIST SP 800-53 Rev. 5.2.0,control,,Provide literacy training on recognizing and reporting potential and actual instances of social engineering and social mining.,,,
at-3,AT-3,AT,Role-based training,NIST SP 800-53 Rev. 5.2.0,control,,"A. Provide role-based security and privacy training to personnel with the following roles and responsibilities: [Assignment: organization-defined roles and responsibilities]
1. before authorizing access to the system, information, or performing assigned duties, and [Assignment: organization-defined frequency] thereafter
2. when required by system changes
   B. Update role-based training content [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]
   C. Incorporate lessons learned from internal or external security incidents or breaches into role-based training.",,Ensure that employees of government institutions receive privacy training as outlined in Appendix B of the TBS Directive on Personal Information Requests and Correction of Personal Information.,
at-4,AT-4,AT,Training records,NIST SP 800-53 Rev. 5.2.0,control,,"A. Document and monitor information security and privacy training activities, including security and privacy awareness training and specific role-based security and privacy training
B. Retain individual training records for [Assignment: organization-defined time period]",,Library and Archives Canada provides guidance on records retention for GC departments and agencies.,
au-1,AU-1,AU,Audit and accountability policy and procedures,NIST SP 800-53 Rev. 5.2.0,activity,,"A. Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]
1. [Selection (1 or more): Organization-level; Mission/business process-level; System-level] audit and accountability policy that
   a. addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance
   b. is consistent with applicable laws, Orders in Council, directives, regulations, policies, standards, and guidelines
2. procedures to facilitate the implementation of the audit and accountability policy and the associated audit and accountability controls
   B. Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the audit and accountability policy and procedures
   C. Review and update the current audit and accountability
3. policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]
4. procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]",,,
au-2,AU-2,AU,Event logging,NIST SP 800-53 Rev. 5.2.0,control,,"A. Identify the types of events that the system is capable of logging in support of the audit function: [Assignment: organization-defined event types that the system is capable of logging]
B. Coordinate the event logging function with other organizational entities requiring audit-related information to guide and inform the selection criteria for events to be logged
C. Specify the following event types for logging within the system: [Assignment: organization-defined event types (subset of the event types defined in AU-02A.) along with the frequency of (or situation requiring) logging for each identified event type]
D. Provide a rationale for why the event types selected for logging are deemed to be adequate to support after-the-fact investigations of incidents
E. Review and update the event types selected for logging [Assignment: organization-defined frequency]",,,
au-3,AU-3,AU,Content of audit records,NIST SP 800-53 Rev. 5.2.0,control,,"Ensure that audit records contain information that establishes the following:
A. what type of event occurred
B. when the event occurred
C. where the event occurred
D. source of the event
E. outcome of the event
F. identity of any individuals, subjects, objects or entities associated with the event",,GC departments and agencies ensure that the content of audit records aligns with the Security Incidents and Privacy Breaches PIBs.,
au-3.1,AU-3(1),AU,Additional audit information,NIST SP 800-53 Rev. 5.2.0,control,,Generate audit records containing the following additional information: [Assignment: organization-defined additional information].,,,
au-4,AU-4,AU,Audit log storage capacity,NIST SP 800-53 Rev. 5.2.0,control,,Allocate audit log storage capacity to accommodate [Assignment: organization-defined audit log retention requirements].,,,
au-4.1,AU-4(1),AU,Transfer to alternate storage,NIST SP 800-53 Rev. 5.2.0,control,,"Transfer audit logs [Assignment: organization-defined frequency] to a different system, system component, or media other than the system or system component conducting the logging.",,,
au-5,AU-5,AU,Response to audit logging process failures,NIST SP 800-53 Rev. 5.2.0,control,,"A. Alert [Assignment: organization-defined personnel or roles] within [Assignment: organization-defined time period] in the event of an audit logging process failure
B. Take the following additional actions: [Assignment: organization-defined additional actions]",,,
au-5.1,AU-5(1),AU,Storage capacity warning,NIST SP 800-53 Rev. 5.2.0,control,,"Provide a warning to [Assignment: organization-defined personnel, roles, and/or locations] within [Assignment: organization-defined time period] when allocated audit log storage volume reaches [Assignment: organization-defined percentage] of repository maximum audit log storage capacity.",,,
au-6,AU-6,AU,"Audit record review, analysis, and reporting",NIST SP 800-53 Rev. 5.2.0,control,,"A. Review and analyze system audit records [Assignment: organization-defined frequency] for indications of [Assignment: organization-defined inappropriate or unusual activity] and the potential impact of the inappropriate or unusual activity
B. Report findings to [Assignment: organization-defined personnel or roles]
C. Adjust the level of audit record review, analysis, and reporting within the system when there is a change in risk based on law enforcement information, intelligence information, or other credible sources of information",,,
au-6.1,AU-6(1),AU,Automated process integration,NIST SP 800-53 Rev. 5.2.0,control,,"Integrate audit record review, analysis, and reporting processes using [Assignment: organization-defined automated mechanisms].",,,
au-6.3,AU-6(3),AU,Correlate audit record repositories,NIST SP 800-53 Rev. 5.2.0,control,,Analyze and correlate audit records across different repositories to gain organization-wide situational awareness.,,,
au-6.4,AU-6(4),AU,Central review and analysis,NIST SP 800-53 Rev. 5.2.0,control,,Provide and implement the capability to centrally review and analyze audit records from multiple components within the system.,,,
au-7,AU-7,AU,Audit record reduction and report generation,NIST SP 800-53 Rev. 5.2.0,control,,"Provide and implement an audit record reduction and report generation capability that:
A. supports on-demand audit record review, analysis, and reporting requirements and after-the-fact investigations of incidents
B. does not alter the original content or time ordering of audit records",,,
au-7.1,AU-7(1),AU,Automatic processing,NIST SP 800-53 Rev. 5.2.0,control,,"Provide and implement the capability to process, sort, and search audit records for events of interest based on the following content: [Assignment: organization-defined fields within audit records].",,,
au-8,AU-8,AU,Time stamps,NIST SP 800-53 Rev. 5.2.0,control,,"A. Use internal system clocks to generate time stamps for audit records
B. Record time stamps for audit records that meet [Assignment: organization-defined granularity of time measurement] and that use Coordinated Universal Time (UTC), have a fixed local time offset from UTC, or that include the local time offset as part of the time stamp",,,
au-9,AU-9,AU,Protection of audit information,NIST SP 800-53 Rev. 5.2.0,control,,"A. Protect audit information and audit logging tools from unauthorized access, modification, and deletion
B. Alert [Assignment: organization-defined personnel or roles] upon detection of unauthorized access, modification, or deletion of audit information",,,
au-9.2,AU-9(2),AU,Store on separate physical systems or components,NIST SP 800-53 Rev. 5.2.0,control,,Store audit records [Assignment: organization-defined frequency] in a repository that is part of a physically different system or system component than the system or component being audited.,,,
au-9.4,AU-9(4),AU,Access by subset of privileged users,NIST SP 800-53 Rev. 5.2.0,control,,Authorize access to management of audit logging functionality to only [Assignment: organization-defined subset of privileged users or roles].,,,
au-9.6,AU-9(6),AU,Read-only access,NIST SP 800-53 Rev. 5.2.0,control,,Authorize read-only access to audit information to [Assignment: organization-defined subset of privileged users or roles].,,,
au-11,AU-11,AU,Audit record retention,NIST SP 800-53 Rev. 5.2.0,control,,Retain audit records for [Assignment: organization-defined time period consistent with records retention policy] to provide support for after-the-fact investigations of incidents and to meet regulatory and organizational information retention requirements.,,"This includes the retention and availability of audit records relative to requests for GC information under the Access to Information Act, requests for personal information under the Privacy Act, subpoenas, and law enforcement actions. When audit records include personal information that is used for administrative decision such as an investigation, they must be retained in accordance with the Privacy Regulations. If audit records contain personal information that is not required for the audit process, that personal information should be removed or redacted prior to retention. If audit records rely on personal information and that information is used to make an administrative decision, the minimum retention standard is at least 2 years following the last time the personal information was used for an administrative purpose unless the individual consents to its disposal. Retention standards for personal information associated with this process should be reflected in the standard PIB for Internal Audit. Library and Archives Canada provides federal policy on records retention.",
au-12,AU-12,AU,Audit record generation,NIST SP 800-53 Rev. 5.2.0,control,,"A. Provide audit record generation capability for the event types the system is capable of auditing as defined in AU-02A on [Assignment: organization-defined system components]
B. Allow [Assignment: organization-defined personnel or roles] to select the event types that are to be logged by specific components of the system
C. Generate audit records for the event types defined in AU-02C that include the audit record content defined in AU-03",,,
au-12.1,AU-12(1),AU,System-wide and time-correlated audit trail,NIST SP 800-53 Rev. 5.2.0,control,,Compile audit records from [Assignment: organization-defined system components] into a system-wide (logical or physical) audit trail that is time-correlated to within [Assignment: organization-defined level of tolerance for the relationship between time stamps of individual records in the audit trail].,,,
