Control,Family,Title,Category,K8s Mechanism,ITSP.10.033-01 status,Notes
SC-12,System and Communications Protection,Cryptographic key establishment and management,Admin,"KMS provider plugin for etcd encryption at rest",Selected,
SC-13,System and Communications Protection,Cryptographic protection,Admin,"FIPS-validated modules; CSE-approved crypto per ITSP.40.111",Selected,
SC-23,System and Communications Protection,Session authenticity,Admin,"TLS everywhere; mTLS via mesh; anonymous endpoints disabled",Selected,
SC-28,System and Communications Protection,Protection of information at rest,Admin,"etcd encryption at rest; CSI encrypted volumes",Selected,
SI-2,System and Information Integrity,Flaw remediation,Admin,"Patch cadence policy; managed control plane; node image rotation",Selected,
SI-4,System and Information Integrity,System monitoring (partial),Admin,"kube-apiserver audit logs; metrics-server",Selected,
AC-3,Access Control,Workload-level access enforcement,Workload,"App-level RBAC inside the workload",Selected,
AU-3,Audit and Accountability,Workload audit content,Workload,"Structured app logging to stdout",Selected,
IA-2,Identification and Authentication,End-user authentication,Workload,"App-level OIDC or SAML for end users",Selected,
SC-8,System and Communications Protection,In-app TLS,Workload,"App-level TLS termination when no mesh",Selected,
SC-13,System and Communications Protection,In-app crypto,Workload,"App-level field encryption or envelope encryption",Selected,
SI-10,System and Information Integrity,Information input validation,Workload,"In-app input validation",Selected,
SI-11,System and Information Integrity,Error handling,Workload,"Sanitized error handling in app code",Selected,
CM-5,Configuration Management,Access restrictions for change,External,"Image-signing verification at admission (sigstore policy-controller, Connaisseur, Kyverno verify-images)",Selected,No built-in signature verification; ValidatingAdmissionPolicy can pin digests only
CM-8(3),Configuration Management,Automated unauthorized component detection,External,"SBOM generation at build and verification at admission (Syft, Grype)",Selected,
SA-10(1),System and Services Acquisition,Software and firmware integrity verification,External,"Build-attestation framework (in-toto, SLSA provenance, Rekor)",Selected,Activity in ITSP.10.033
SA-11,System and Services Acquisition,Developer testing and evaluation,External,"Vulnerability scanner (Trivy, Grype, commercial alternatives)",Selected,Activity in ITSP.10.033
SA-15,System and Services Acquisition,"Development process, standards, and tools",External,"CI/CD pipeline with signed builds and recorded provenance",Selected,Activity in ITSP.10.033
SI-3,System and Information Integrity,Malicious code protection,External,"Runtime detection (Falco, Tetragon, commercial alternatives)",Selected,Suggested parameters: updates at least every 30 days; quarantine on detection
SI-4,System and Information Integrity,System monitoring (runtime),External,"Runtime observability (Falco, Cilium Hubble, eBPF-based tooling)",Selected,
SI-7,System and Information Integrity,"Software, firmware, and information integrity",External,"Runtime integrity monitoring; immutable rootfs patterns",Selected,
AU-6,Audit and Accountability,"Audit record review, analysis, and reporting",External,"SIEM ingestion",Selected,
AU-9(2),Audit and Accountability,Store on separate physical systems or components,External,"Forwarder to immutable WORM storage on a separate system",Selected,
IR-4,Incident Response,Incident handling,External,"SOAR tooling",Selected,
CA-7,Assessment Authorization and Monitoring,Continuous monitoring,External,"Continuous compliance scanner (Kubescape, Trivy, Compliance Operator)",Selected,
CP-9,Contingency Planning,System backup,External,"Workload backup (Velero, Kasten K10) with offsite or air-gapped retention",Selected,
CP-10,Contingency Planning,System recovery and reconstitution,External,"Replicated storage; database clustering",Selected,
SC-12(1),System and Communications Protection,Cryptographic key establishment and management: Availability,External,"KMS or HSM (Vault, cloud KMS, on-premise HSM)",Selected,
SC-17,System and Communications Protection,Public key infrastructure certificates,External,"cert-manager integrated with corporate or private PKI",Selected,
SA-400,System and Services Acquisition,Sovereignty and jurisdiction,External,"Organizational TRA on legal compulsion; needs written evidence of where images are built, signed, hosted, and where KMS and registry sit",Selected,New in ITSP.10.033-01; Canadian-specific
SA-400(1),System and Services Acquisition,Sovereignty and jurisdiction: Threat and risk assessment,External,"Jurisdiction-specific TRA",Not selected,New in ITSP.10.033-01; likely tailoring addition
SA-400(4),System and Services Acquisition,Sovereignty and jurisdiction: Protection of data at rest,External,"Registry, KMS, and backup destinations constrained to jurisdiction",Not selected,New in ITSP.10.033-01; likely tailoring addition
SI-400,System and Information Integrity,Dedicated administration workstation,Admin,"Cluster-admin kubectl, GitOps writes, and KMS admin only from a dedicated isolated workstation",Selected,New in ITSP.10.033-01; Canadian-specific
AC-17(400),Access Control,Remote access: Privileged accounts remote access,Admin,"Restrict system:masters and cluster-admin bindings to identities originating from the SI-400 workstation",Selected,New in ITSP.10.033-01; Canadian-specific
SI-7(1),System and Information Integrity,"Software, firmware, and information integrity: Integrity checks",External,"Digest pinning; signature verification at admission; periodic re-verification of running images",Selected,Suggested frequency no longer than 30 days
SR-3,Supply Chain Risk Management,Supply chain controls and processes,External,"SBOM, provenance, and signature verification as the evidence base",Selected,New family in ITSP.10.033
SR-5,Supply Chain Risk Management,"Acquisition strategies, tools, and methods",External,"Procurement terms requiring provenance and offline verification",Selected,New family in ITSP.10.033
SR-6,Supply Chain Risk Management,Supplier assessments and reviews,External,"Periodic supplier review against delivered evidence",Selected,New family in ITSP.10.033
SR-8,Supply Chain Risk Management,Notification agreements,External,"Written compromise-notification agreement with every supplier in the chain",Selected,New family in ITSP.10.033
SR-10,Supply Chain Risk Management,Inspection of systems or components,External,"Tamper inspection of delivered bundles and images against signed manifests",Selected,New family in ITSP.10.033
SR-11,Supply Chain Risk Management,Component authenticity,External,"Signature and provenance verification before admission",Selected,New family in ITSP.10.033
SR-11(2),Supply Chain Risk Management,Component authenticity: Configuration control for component service and repair,External,"Configuration control over components awaiting or returning from service",Selected,New family in ITSP.10.033
SR-4,Supply Chain Risk Management,Provenance,External,"Build provenance and attestation (SLSA-style)",Not selected,Rev. 5 home for provenance; likely tailoring addition
CM-14,Configuration Management,Signed components,External,"Admission-time signature enforcement",Not selected,Rev. 5 home for image signing; mapping keeps CM-5 as the selected control
